baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
ENSG00000012232	0.661705583	-0.258455751	0.949153676	-0.272301269	0.78539038	0.862589517
ENSG00000012504	0.029297091	0	5.053481659	0	1	NA
ENSG00000012660	31.89048931	-0.46794651	0.264142692	-1.77156713	0.07646644	0.192931726
ENSG00000012779	53.62165819	0.245733859	0.369429744	0.665170748	0.505941288	0.652561008
ENSG00000012817	14.40204276	-0.050203889	0.809647334	-0.062007107	0.950557172	0.968430472
ENSG00000012822	334.0001658	0.485585587	0.156325819	3.106240473	0.001894826	0.017529102
ENSG00000012963	7.185724613	-0.801187645	0.394573033	-2.030517999	0.042303913	0.13278564
ENSG00000012983	363.223863	0.196772147	0.137500119	1.43106892	0.152410464	0.299563477
ENSG00000013016	161.3421308	0.730930105	0.20377182	3.587002874	0.000334501	0.005238238
ENSG00000013275	122.4737947	-0.543771113	0.158562612	-3.429377877	0.000604967	0.007965394
ENSG00000013288	5.331000814	-0.87170774	0.741896931	-1.174971487	0.240006123	0.402546492
ENSG00000013306	127.1020085	-0.253326034	0.260519011	-0.972389819	0.330856655	0.494803787
ENSG00000013364	40.96340474	-0.966065976	0.347241381	-2.782116498	0.005400565	0.035236276
ENSG00000013374	46.67375747	-0.679141626	0.294870328	-2.303187409	0.021268301	0.085394565
ENSG00000013375	9.103738091	-0.470959439	0.480040817	-0.98108207	0.326552272	0.49075182
ENSG00000013392	0.384203025	0.415488389	1.266843801	0.327971285	0.742933374	NA
ENSG00000013441	81.77787185	-0.893403672	0.350328684	-2.550187043	0.010766514	0.054919801
ENSG00000013503	5.378064713	-0.806003789	0.999518164	-0.806392338	0.420016663	0.577541436
ENSG00000013523	1.792900216	-1.271275579	0.87312976	-1.455998451	0.145393048	0.290935395
ENSG00000013561	52.81290513	0.399094034	0.224354216	1.778856851	0.075263234	0.190925956
ENSG00000013563	7.121608662	0.272227583	0.292972779	0.929190704	0.352790264	0.515383762
ENSG00000013573	3.208912261	-1.674186582	0.890702391	-1.879625113	0.060159188	0.165035483
ENSG00000013583	19.39267062	-0.235426167	0.291713994	-0.807044475	0.41964086	0.577160444
