"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000007255"	22.1773182811569	-1.31835192131032	0.277910120253477	-4.74380681102178	2.09738882918912e-06	1.09237019860375e-05
"ENSG00000007264"	7.23475977141057	0.94447011451957	0.699058099299254	1.35106097113576	0.176675902385354	0.251448295729789
"ENSG00000007312"	28.8713217560724	-4.39209871354612	0.491464755884685	-8.93675214947999	4.00775938852275e-19	2.65533327563616e-17
"ENSG00000007314"	0.133536735850523	-0.675469405395486	2.20996312103023	-0.3056473653192	0.759873152836045	NA
"ENSG00000007341"	22.1448458796336	-0.323153792589118	0.269649549273484	-1.19842140830493	0.230753002225388	0.313208620473562
"ENSG00000007350"	5.25126901331896	-0.269790576614823	0.591719108934066	-0.455943660668369	0.648430492166754	0.722545146103991
"ENSG00000007376"	0.827701757097346	-0.598922369882371	1.00183696022149	-0.597824190624747	0.549957247717427	0.636352714592264
"ENSG00000007392"	20.4993365030415	-3.56368860889655	0.443048958528745	-8.04355487197322	8.72691029331149e-16	3.40695611195823e-14
"ENSG00000007402"	0.31124664100685	-2.55689378767947	2.34250177068432	-1.09152267019739	0.275042962074279	0.363514631278953
"ENSG00000007516"	0.265432835336237	-1.05902564892563	3.32994290372345	-0.318031173369807	0.750461290627427	0.806527883189313
"ENSG00000007520"	4.66133058960678	0.414534730272419	0.752470696147605	0.550898171044662	0.581703481314554	0.665318043527314
"ENSG00000007541"	1.36421266794324	-0.474598214888062	0.833463490205133	-0.569428919761384	0.56906509550756	0.653687261914619
"ENSG00000007908"	0.218405103425746	-0.322132253463916	1.21422357862124	-0.265298960698572	0.790779165076965	0.839772495486295
"ENSG00000007923"	7.5340438611855	-2.5369492979604	0.617968881692624	-4.10530266671626	4.0378584904422e-05	0.00015295692099171
"ENSG00000007944"	7.95271274303489	-2.30490295603536	0.447329315578843	-5.15258641847075	2.56918158152263e-07	1.65991051922003e-06
"ENSG00000007968"	0.430745121430256	-0.678927724889772	1.10518160850693	-0.614313267307251	0.539008337035506	0.62647161108934
"ENSG00000008018"	98.2211259795094	-1.5696745412482	0.214581512778261	-7.31505021530087	2.57285160524718e-13	6.19868321187261e-12
"ENSG00000008083"	132.207565245501	-0.0573728995821322	0.159577043072797	-0.359531035776615	0.719197864550109	0.781152724729276
"ENSG00000008086"	7.35203680632232	-1.02068601082311	0.462908879841547	-2.20493936338505	0.027458349818445	0.050874363921483
"ENSG00000008128"	0.158994630912473	-1.4958742106573	2.03834513953073	-0.733866989278215	0.463029807777083	NA
"ENSG00000008130"	31.1808841335806	-0.853926496723564	0.372327101817143	-2.29348466054707	0.0218201174896866	0.0415565283478953
"ENSG00000008226"	0.464954138522665	-2.80529789045329	1.43695035125702	-1.95225804983399	0.0509075752988545	0.0870310501418576
"ENSG00000008256"	0.53783380133431	0.598877327424667	1.37790325237708	0.434629446146903	0.663831417788664	0.735627273122031
"ENSG00000008277"	0.53786958477239	-1.2392440119691	0.706201371574199	-1.75480261275434	0.0792930765435123	0.127388422458165
"ENSG00000008282"	26.7146606056228	-1.80542526856514	0.28932955809988	-6.24003050508198	4.3748556817006e-10	5.39265529065438e-09
"ENSG00000008283"	0.668348740743289	-0.867477701118052	0.862141688281044	-1.00618925277543	0.314324540983432	0.405324833844173
"ENSG00000008294"	18.6769383647033	-2.05863857713693	0.377905822788132	-5.4474910228919	5.10852927267368e-08	3.87882324554909e-07
"ENSG00000008300"	0.0771365242889749	-1.52233808329984	4.41208530541996	-0.34503822521966	0.730065633744233	NA
"ENSG00000008311"	2.86982852359789	-2.50089849167448	1.07546981498773	-2.32540091485785	0.0200505326142021	0.0385808977878134
"ENSG00000008324"	8.2428266751252	-2.53307851719157	0.341739118611386	-7.41231652812946	1.24112094747239e-13	3.25168969146711e-12
"ENSG00000008382"	2.09340180768035	-1.98139436878899	0.56877112673697	-3.48364091573392	0.000494642649452467	0.00144451586185727
"ENSG00000008394"	6.84681168678183	-1.44030460887227	0.472299062932338	-3.04956058970333	0.00229176400389019	0.00567117969790102
"ENSG00000008405"	17.1823475078872	-1.29043943194532	0.463754235474916	-2.7825933074742	0.00539263564473944	0.0120740717823159
"ENSG00000008438"	3.57297353615687	0.514691535672524	0.667204530550083	0.771414929164497	0.440461028879654	0.532642456913875
"ENSG00000008441"	2.54531461837339	-1.33525624457029	0.543483680385144	-2.45684699055554	0.0140162370241412	0.0282146892243194
"ENSG00000008513"	56.6936151225061	-0.116211265328615	0.183763221760027	-0.632396756084157	0.527127653122615	0.61525097940099
